MRO
GILD
MDT
A
HCA
AJG
MGM
MSI
FCX
PKI
LNT
BAC
LNC
PPG
IQV
NOV
ARE
TSN
NOW
AIZ
BXP
KHC
ETR
PNR
BDX
VRSK
MMM
FTNT
WDC
EMR
UDR
WEC
EW
EVRG
WRK
BIIB
ROP
HIG
CMS
INCY
SCHW
SO
CME
FANG
AMCR
CMI
KMB
WFC
CNP
DGX
CBRE
FITB
NTRS
JPM
JBHT
ATO
PAYX
MAA
PXD
YUM
DUK
VZ
STT
TRMB
GIS
LW
CPB
OKE
BK
INFO
NI
PFG
ZION
RJF
PRU
WMB
AIG
NWSA
TGT
AAPL
MKC
TDY
WY
AEE
NTAP
ABMD
KEY
PSA
WYNN
PKG
CTSH
SWK
L
AEP
CI
CDW
JNJ
WM
BWA
PPL
