NXN
EFT
USAC
PLOW
PFL
BXC
CHCO
SPLP
DVN
AMSC
HAFC
CEQP
OFLX
AM
EVTC
VRTX
FCFS
TATT
PFMT
CGA
PAGP
CPIX
GEOS
IRMD
MX
HFBL
SUN
FRPT
PPSI
ITCI
MHLD
APEI
NAZ
UTL
GJT
UBA
ALCO
UNB
MTEX
TRMK
REV
BNSO
CCRN
CXDC
DNOW
DTE
SZC
CF
GLRE
SMMF
ACIW
CBAY
TY
CBAN
ATEN
SDRL
ADM
HSTM
KRNY
NATR
ALTR
GIL
RDCM
ENSG
VTNR
UAN
CASI
FRGI
PPT
EFR
SILC
ESS
WMK
HNNA
LIVE
WBS
REFR
NS
LL
ATSG
MSM
BG
RPRX
ASTE
UEIC
SMLP
RIGL
BANX
DBL
NURO
SAVE
KAMN
MRIN
THS
TCCO
JBT
ACRX
FDUS
TSN
GNRC
RBCN
PDT
DAKT
COKE
CMRE
BGMD
UBP
LLY
TPVG
UMH
ALNY
GPK
BIOC
BME
VSEC
GABC
PERF
LLL
EDN
NCA
WNS
UVSP
FMC
LTBR
CSV
CUTR
MPB
VNDA
CHK
JCE
BJRI
BFIN
PTSI
CEM
TGH
PFLT
OMEX
SOR
SMLR
SHEN
OXLCP
VIA
BSET
TLOG
LEE
BGB
GME
ARTW
SIGA
SMPL
AMTD
ALG
UBFO
BSMX
CYD
CHSCO
MIXT
SEV
HCOM
CCJ
TSLX
CAC
DIN
PAAS
CHSCN
MCD
WVVI
ACI
CRVL
LFVN
MWA
FITBI
VSTM
WES
ISTR
RVNC
USPH
RFIL
COWN
PWR
CMLS
GAIA
KYN
DXCM
LPG
EXR
CLRB
HOLX
SSYS
TVE
GM
AAT
REXR
WABC
TCS
NNBR
KVHI
MOS
CBL
GERN
RM
FFIN
HHS
SFNC
CVI
EXD
NTIC
NDLS
CHKR
IBP
AEZS
PEBO
ALEX
HBIO
SRDX
BGFV
LDP
ARCO
EOI
RBC
ALDX
EGHT
CSII
DXLG
PROV
GBL
HEP
CTR
HP
ASPN
OXBR
VNCE
PCYG
CLC
CAR
UBSI
TNP
MRCY
LTRPB
FEI
EA
CTS
KOSS
EMKR
COLB
RLI
ENLC
CTBI
NVEE
FRBA
MMLP
CFRX
RCS
FBIZ
GULTU
ICD
CALX
GBX
SYBT
TVC
WSFS
HES
VOC
EC
DG
RENN
SIG
CLW
AWH
INCY
AAWW
FATE
DEI
CRMT
OMCL
INBK
HPS
NBTB
PT
FCAP
CIVI
CECE
CME
JRVR
SHBI
FFHL
XOM
RBCAA
FGB
IRDM
CTG
PBT
HURN
CVLT
ICPT
TBBK
NFBK
CCBG
EMC
RMT
DMLP
PYS
CSIQ
GOGO
HRZN
PKBK
NIM
NHI
SRV
TTP
SMSI
RNST
SHLX
ESNT
KMDA
MNRO
LADR
MMP
HQL
SASR
SFE
FMBH
EFOI
PX
AMNB
STRN
SQNS
GLOP
ALX
CVT
GASS
SIGI
BPT
BHE
EMO
WEYS
ARCC
AROW
ETX
EVG
CHEF
WFC
PAA
GBCI
HOMB
DPG
JSD
CBFV
TXRH
BMRC
EXEL
HTLF
CCV
DDT
SGU
MCN
PL
CNQ
TNK
FSFG
DKL
MVO
DGLY
LDOS
MTG
POWL
TWI
ERIE
EVF
NMIH
LBAI
BSL
RAND
CMCT
GWW
PPBI
FRBK
CCLP
GSBC
NTGR
IMGN
OLP
BOKF
VIRC
EVGN
ATLO
TARO
PCTI
GNCA
IESC
CECO
CLIR
AAME
TYG
HIL
CVE
ANDE
PCM
EBMT
TLYS
UMBF
AKBA
ABIO
FRME
EBF
NVGS
ROCK
ITRN
PBPB
GAIN
NFG
FCNCA
ACTG
MTW
SCSC
SOFO
AAL
INOD
SP
FCBC
HTBK
HQH
JHI
GIGM
NWBI
SMIT
AVD
FDP
CRWS
MUR
BLCM
RDIB
LPI
SENEA
APTO
NPK
NSP
SPRO
BLX
MCHX
RFP
EGY
FULT
NUW
EQT
TILE
ICAD
GHC
FNLC
PDM
FLXS
WSBC
DYNT
SWN
ADXS
REGN
MLVF
BH
MSB
THFF
MBWM
STBA
CPSI
LOCM
CBNK
CYTR
CREG
VIVO
FORD
MGF
INSM
GER
PFS
RRC
KFS
UMPQ
BWFG
HBCP
SBFG
NTG
SPCB
EPD
BLKB
JAKK
UNTY
RNWK
ECOL
SLP
MNTX
PCRX
JLS
BSRR
MIN
SCI
APA
OCFC
FFNW
HLF
FFBC
TRQ
CRK
AIT
LXP
NCTY
CTHR
HYZD
SEAS
HBAN
EGBN
KEX
SRCE
IRS
NTWK
NAT
WMB
DSWL
NLS
UTHR
LE
TSQ
AHT
EFSC
DYN
GLDD
PSMT
MBCN
PFBC
HZO
DOC
MGRC
VBIV
SCM
CGO
SATS
FUN
EXLS
TOWN
ADUS
FCT
FBP
CERE
KTCC
TMUS
MAIN
SIMO
PIM
EQS
BLIN
NBN
EDR
RGS
BNFT
CARV
GALT
QDEL
SEAC
GAME
RUSHB
ERJ
LTC
JYNT
WSBF
CPS
ADC
NICK
BANR
SVVC
STNG
TFSL
HFWA
TA
OXLCN
LMAT
CLWT
BBGI
BWEN
