CSCO
NVR
EQIX
WBA
HCA
DISH
HUM
CBOE
TFX
ARE
REG
LOW
DLR
SNA
D
BXP
EXR
MMM
HSY
LUMN
LEG
ANSS
SBLK
UDR
MLM
AAP
EXC
HSIC
FRT
CMCSA
UHS
NRG
SB
TAP
AVB
CVS
AOS
MAA
ANTM
GPS
CHD
DVA
HBI
WY
KIM
GLDG
