STOCKS
AA
AAL
AAP
AAPL
ABBV
ABMD
ABNB
ABT
ACN
ADBE
ADI
ADM
ADP
ADSK
AEM
AEO
AEP
AFRM
AG
AHCO
AHT
AI
AIG
AKAM
ALB
ALDX
ALGM
ALGN
ALK
ALLK
ALLY
ALNY
ALT
AMAT
AMC
AMD
AMGN
AMLX
AMN
AMR
AMRS
AMT
AMZN
ANF
ANSS
ANTM
APA
APD
APO
APP
APPS
AQN
AR
ARCB
ARCH
ARGX
ARLP
ARMK
ARRY
ASAN
ASML
ASO
ASTR
ATAI
AUY
AVGO
AVPT
AVYA
AXL
AXP
AXSM
AZN
AZO
BA
BABA
BAC
BBBY
BBIO
BBY
BCC
BCS
BCTX
BECN
BEKE
BFH
BG
BGNE
BHP
BIDU
BIG
BIGC
BIIB
BILI
BILL
BKI
BKNG
BKR
BL
BLCO
BLK
BMBL
BMO
BMRN
BMY
BNTX
BOOT
BOXD
BP
BPT
BRO
BROS
BRZE
BSM
BSX
BTI
BTU
BURL
BX
BXP
BYND
BZ
BZFD
BZUN
C
CALM
CAN
CAR
CAT
CB
CCI
CCJ
CCK
CCL
CCXI
CEG
CEIX
CELH
CERE
CF
CFLT
CFR
CFVI
CG
CGC
CHK
CHPT
CHRW
CHS
CHTR
CHWY
CI
CLAR
CLF
CLR
CLX
CMCSA
CME
CMG
CMI
CMPS
CMRE
CNC
CNK
CNQ
CNSL
COF
COIN
COMM
COMP
COP
COST
COTY
COUP
COWN
CPE
CPG
CPLP
CPNG
CPRI
CRC
CRK
CRM
CRNX
CROX
CRSP
CRTX
CRUS
CRWD
CS
CSCO
CTAS
CTIC
CTRA
CVE
CVI
CVNA
CVS
CVT
CVX
CWH
CZR
D
DAC
DAL
DAR
DASH
DBX
DCP
DDOG
DDS
DE
DELL
DEO
DG
DHI
DHR
DHT
DIDI
DINO
DIS
DISH
DK
DKNG
DKS
DLTR
DNN
DO
DOCN
DOCU
DOOO
DOW
DPZ
DQ
DRE
DRI
DSX
DT
DUOL
DVA
DVN
DXCM
EA
EBET
EBIX
ECL
ED
EDR
EDU
EEFT
EGLX
EGO
EGY
EH
EIGR
EIX
EL
EMR
ENB
ENPH
ENS
ENTG
ENVX
EOG
EPAM
EPD
EQNR
EQR
EQT
ERF
ESTE
ET
ETN
ETR
ETRN
ETSY
EVEX
EXC
EXPE
EXR
F
FANG
FB
FCEL
FCX
FDS
FDX
FICO
FITB
FIVE
FLNG
FREY
FRGE
FROG
FSLR
FSLY
FSR
FTCH
FTNT
FUBO
FUN
FUTU
FUV
FVRR
FWONK
GD
GDDY
GDRX
GDS
GE
GEVO
GFI
GFS
GGPI
GH
GILD
GLDG
GLNG
GLW
GM
GME
GNK
GNRC
GOGL
GOLD
GOOG
GOOGL
GOTU
GPN
GPS
GRAB
GRMN
GRPN
GS
GSK
GSL
GT
GWRE
GWW
HAIN
HAL
HAS
HBI
HCC
HCP
HD
HDSN
HES
HGEN
HIBB
HIG
HIMS
HIMX
HIVE
HL
HLTH
HOLX
HOOD
HP
HPE
HPQ
HSBC
HTZ
HUBS
HUM
HUN
HUSA
IAA
IBM
IBRX
ICE
ICL
ICLR
IEP
IIVI
IMPP
ING
INMD
INTC
INTU
INVZ
IOVA
IQV
IRBT
IVZ
IWM
JBLU
JD
JKS
JMIA
JNJ
JOBY
JOE
JPM
JWN
K
KAR
KBH
KD
KDP
KGC
KHC
KKR
KMB
KMI
KMT
KMX
KNX
KO
KR
KRTX
KRYS
KSS
LAC
LAND
LAZR
LCID
LEN
LHX
LI
LIN
LITE
LLNW
LLY
LMND
LMT
LNG
LOB
LOCL
LOGI
LOVE
LOW
LPI
LPX
LRCX
LRN
LSCC
LSPD
LTHM
LULU
LUMN
LUV
LVS
LYB
LYFT
LYV
M
MA
MAA
MAIN
MAR
MARA
MCD
MCHP
MCK
MDB
MDLZ
MDRX
MELI
MET
METC
MGM
MGY
MKL
MLCO
MMM
MNDY
MO
MOMO
MOS
MP
MPC
MPLN
MPLX
MPW
MQ
MRK
MRNA
MRO
MRTX
MRUS
MRVL
MS
MSFT
MSGS
MSTR
MT
MTCH
MTDR
MTH
MU
MULN
MUR
MVIS
MVST
MYOV
NBIX
NCLH
NCR
NEE
NEGG
NEM
NET
NEXT
NFE
NFLX
NICE
NIO
NKE
NKLA
NMM
NNDM
NOAH
NOC
NOG
NOK
NOVA
NOW
NRG
NSC
NTES
NTLA
NTR
NUE
NVAX
NVDA
NVS
NWL
NXPI
OAS
OBE
ODFL
OEC
OIL
OKE
OKTA
OLLI
OLN
ON
ONDS
OPEN
OPK
OPRX
ORCL
ORLY
OSTK
OTIS
OTLY
OVV
OXM
OXY
OZK
PAG
PAGS
PANW
PARA
PATH
PAX
PBF
PBR
PBT
PCG
PDCE
PDD
PEAK
PENN
PEP
PERI
PFE
PG
PGNY
PGR
PINS
PLAB
PLAY
PLBY
PLD
PLNT
PLTR
PLUG
PM
PMVP
POSH
PPG
PSFE
PSX
PTON
PVH
PWR
PXD
PYPL
QCOM
QQQ
QRVO
QS
RBA
RBLX
RCII
RCKT
RCL
RDBX
REAL
REGN
REV
RGEN
RH
RIDE
RIG
RIO
RIOT
RIVN
RJF
RKLB
RKT
RLAY
RLMD
RLX
RNG
ROCC
ROKU
ROST
RPTX
RRC
RRX
RTX
RUN
RY
S
SAFE
SAP
SAVA
SAVE
SB
SBLK
SBOW
SBSW
SBUX
SCHW
SD
SE
SEDG
SFIX
SFM
SGH
SHEL
SHOP
SHW
SI
SIG
SIGA
SIRI
SIVB
SIX
SJT
SKIN
SKX
SLB
SLCA
SLS
SM
SMAR
SMCI
SMG
SMPL
SNAP
SNOW
SNPS
SOFI
SONO
SONY
SOUN
SPB
SPCE
SPG
SPGI
SPLK
SPOT
SPR
SPWR
SPY
SQ
SQM
STAA
STLA
STLD
STM
STNE
STNG
STT
STX
SU
SWAV
SWBI
SWK
SWKS
SWN
SWX
SYF
SYK
SYNA
SYY
T
TAL
TALO
TCDA
TCOM
TDG
TDOC
TEAM
TECK
TELL
TEVA
TGT
TGTX
THO
TIGR
TJX
TKR
TLRY
TME
TMO
TMST
TMUS
TPR
TREE
TREX
TROW
TRTN
TSCO
TSLA
TSM
TSN
TTD
TTE
TTWO
TWLO
TWST
TWTR
TXN
TXRH
U
UAA
UAL
UAN
UBER
UEC
UL
ULTA
UNFI
UNH
UNP
UPLD
UPS
UPST
URI
USAK
USB
V
VALE
VEEV
VERU
VET
VFC
VG
VICI
VIPS
VIRT
VIX
VLO
VMC
VMW
VRM
VRTX
VSCO
VST
VSTO
VTGN
VTNR
VTV
VUG
VVV
VZ
W
WB
WBA
WBD
WBX
WDAY
WDC
WE
WELL
WEN
WFC
WFRD
WGO
WIRE
WISH
WIX
WLL
WMG
WMT
WSM
WST
WTI
WTW
WYNN
X
XLB
XLC
XLE
XLF
XLI
XLK
XLP
XLRE
XLU
XLV
XLY
XOM
XP
XPEL
XPEV
YPF
YUMC
Z
ZBRA
ZEN
ZEV
ZI
ZIM
ZM
ZS
ZTS
