Date,Open,High,Low,Close,Adj Close,Volume
2022-01-04,135900.0,139200.0,134900.0,137800.0,137800.0,1327900
2022-01-05,137800.0,139300.0,137100.0,137100.0,137100.0,1178700
2022-01-06,137100.0,138800.0,136500.0,137500.0,137500.0,771100
2022-01-07,137500.0,137500.0,135500.0,135500.0,135500.0,921200
2022-01-10,135500.0,135500.0,133000.0,133000.0,133000.0,927000
2022-01-11,133000.0,134500.0,131700.0,131800.0,131800.0,773400
2022-01-12,131800.0,136000.0,130000.0,136000.0,136000.0,928600
2022-01-13,136500.0,136500.0,132000.0,135500.0,135500.0,925000
2022-01-14,135000.0,135000.0,133200.0,134000.0,134000.0,468400
2022-01-18,129000.0,132000.0,128600.0,130100.0,130100.0,816200
2022-01-19,130200.0,134000.0,130000.0,133500.0,133500.0,954800
2022-01-20,133000.0,134000.0,132100.0,134000.0,134000.0,896900
2022-01-21,134000.0,134000.0,131300.0,133200.0,133200.0,655100
2022-01-24,132200.0,133200.0,129900.0,129900.0,129900.0,867600
2022-01-25,129800.0,131000.0,127600.0,131000.0,131000.0,802500
2022-01-26,131000.0,131900.0,129000.0,131900.0,131900.0,954300
2022-01-27,130900.0,132300.0,129200.0,131500.0,131500.0,530600
2022-01-28,131300.0,132500.0,129700.0,132500.0,132500.0,716300
2022-01-31,132500.0,132500.0,132500.0,132500.0,132500.0,0
2022-02-07,133000.0,135700.0,133000.0,133900.0,133900.0,932400
2022-02-08,133900.0,136800.0,133900.0,136300.0,136300.0,1450000
2022-02-09,136300.0,137500.0,136000.0,137000.0,137000.0,1207000
2022-02-10,137000.0,137200.0,134500.0,136300.0,136300.0,902700
2022-02-11,135000.0,136000.0,135000.0,135300.0,135300.0,541500
2022-02-14,133900.0,135000.0,132000.0,132000.0,132000.0,957300
2022-02-15,132000.0,132000.0,132000.0,132000.0,132000.0,0
2022-02-16,134200.0,134200.0,131600.0,132900.0,132900.0,562000
2022-02-17,132000.0,134500.0,131900.0,134500.0,134500.0,1031400
2022-02-18,132100.0,134000.0,132100.0,134000.0,134000.0,467800
2022-02-22,133000.0,139200.0,132400.0,137700.0,137700.0,3272600
2022-02-23,137700.0,140600.0,136900.0,137800.0,137800.0,1609600
2022-02-24,137000.0,137700.0,135500.0,136800.0,136800.0,1174200
2022-02-25,136900.0,139800.0,136000.0,137600.0,137600.0,2690300
2022-02-28,136500.0,138000.0,135500.0,136000.0,136000.0,1802000
2022-03-01,136900.0,137000.0,135100.0,136000.0,136000.0,1210200
2022-03-02,135800.0,135800.0,134000.0,134500.0,134500.0,1670200
