Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,22.75,23.5,21.5,22.0,22.0,29256
2022-02-24,20.5,23.0,20.5,22.75,22.75,37636
2022-02-25,23.0,23.5,22.25,23.25,23.25,26056
2022-02-28,23.0,23.75,22.25,22.5,22.5,36008
2022-03-01,22.75,23.25,22.0,22.5,22.5,22704
2022-03-02,22.25,22.25,21.25,21.25,21.25,47232
2022-03-03,21.5,22.0,21.0,21.25,21.25,41752
2022-03-04,21.75,21.75,20.5,20.75,20.75,31712
2022-03-07,20.5,21.0,20.0,20.0,20.0,46928
2022-03-08,20.0,20.75,19.5,19.75,19.75,52712
2022-03-09,20.25,21.0,20.0,21.0,21.0,41700
2022-03-10,20.5,20.5,19.5,20.0,20.0,48784
2022-03-11,20.25,20.5,18.0,18.75,18.75,62376
2022-03-14,18.5,18.75,16.75,17.25,17.25,81736
2022-03-15,17.5,18.0,17.0,17.25,17.25,64028
2022-03-16,17.5,17.75,17.0,17.25,17.25,69540
2022-03-17,19.25,20.75,17.5,20.75,20.75,113656
2022-03-18,20.5,20.5,18.5,18.5,18.5,159472
2022-03-21,20.0,20.0,17.5,17.75,17.75,87036
2022-03-22,17.75,18.5,16.75,17.5,17.5,76796
2022-03-23,17.5,17.5,16.75,17.0,17.0,106140
2022-03-24,17.25,17.25,16.75,17.25,17.25,51184
2022-03-25,17.0,17.25,16.0,16.25,16.25,72284
2022-03-28,16.5,17.0,15.25,15.75,15.75,103344
2022-03-29,16.0,16.25,15.5,15.75,15.75,70092
2022-03-30,15.5,16.0,14.5,15.0,15.0,107068
2022-03-31,15.25,15.75,14.5,15.25,15.25,98040
2022-04-01,15.25,15.75,14.5,15.0,15.0,70628
2022-04-04,13.75,14.5,13.25,14.25,14.25,112516
2022-04-05,14.25,14.5,13.25,13.75,13.75,69236
2022-04-06,13.75,14.25,13.25,13.75,13.75,92060
2022-04-07,13.75,14.25,13.5,13.5,13.5,52376
2022-04-08,13.75,14.0,12.75,13.25,13.25,75380
2022-04-11,12.75,33.25,12.5,21.5,21.5,1276604
2022-04-12,18.25,19.0,14.0,14.75,14.75,610248
2022-04-13,15.0,15.0,13.5,13.75,13.75,152392
2022-04-14,13.5,14.0,12.75,13.25,13.25,145748
2022-04-18,13.5,13.75,12.75,12.75,12.75,102856
2022-04-19,12.75,12.75,11.75,12.25,12.25,127616
2022-04-20,12.75,14.0,12.25,13.5,13.5,125140
2022-04-21,13.75,14.5,13.5,14.0,14.0,84480
2022-04-22,13.5,14.25,13.25,13.75,13.75,80972
2022-04-25,13.75,14.0,13.0,13.25,13.25,92720
2022-04-26,13.0,13.75,12.75,13.0,13.0,93500
2022-04-27,13.25,13.5,12.25,12.25,12.25,105356
2022-04-28,12.75,12.75,11.5,11.75,11.75,108532
2022-04-29,12.0,17.5,12.0,12.25,12.25,210780
2022-05-02,12.75,14.75,12.5,14.25,14.25,127228
2022-05-03,14.25,16.0,13.75,14.25,14.25,181084
2022-05-04,14.75,14.75,13.0,14.0,14.0,134424
2022-05-05,14.0,14.0,13.25,14.0,14.0,108988
2022-05-06,13.5,17.25,12.75,15.75,15.75,369160
2022-05-09,15.75,16.0,14.0,15.5,15.5,117496
2022-05-10,16.0,17.75,15.5,16.5,16.5,114672
2022-05-11,16.75,17.0,14.25,14.5,14.5,124664
2022-05-12,14.5,15.25,13.5,13.75,13.75,124632
2022-05-13,13.5,15.0,13.5,14.5,14.5,132776
2022-05-16,14.5,16.5,14.25,16.25,16.25,89536
2022-05-17,16.25,18.5,16.25,18.0,18.0,85168
2022-05-18,18.0,18.25,17.0,17.75,17.75,75620
2022-05-19,18.0,19.5,17.0,19.0,19.0,69848
2022-05-20,8.5,8.5,6.25,6.5,6.5,1836908
2022-05-23,6.75,6.75,5.0,5.25,5.25,980592
2022-05-24,5.5,5.5,5.0,5.0,5.0,475824
2022-05-25,5.0,5.0,4.5,4.5,4.5,425564
2022-05-26,4.75,5.0,4.5,4.75,4.75,242488
2022-05-27,4.75,5.5,4.5,5.25,5.25,305032
2022-05-31,5.5,5.5,5.0,5.5,5.5,212760
2022-06-01,5.25,5.5,5.0,5.25,5.25,139584
2022-06-02,5.0,5.75,5.0,5.5,5.5,249688
2022-06-03,5.5,6.0,5.25,6.0,6.0,194536
2022-06-06,6.0,8.25,6.0,7.5,7.5,572316
2022-06-07,7.25,8.0,7.25,7.5,7.5,227440
2022-06-08,7.25,10.5,7.25,9.5,9.5,568512
2022-06-09,9.5,10.5,8.25,9.25,9.25,433584
2022-06-10,9.5,9.5,8.5,8.75,8.75,125716
2022-06-13,8.25,9.75,8.25,9.75,9.75,166640
2022-06-14,9.5,10.5,8.75,9.25,9.25,167276
2022-06-15,9.0,9.5,8.25,9.25,9.25,115876
2022-06-16,9.25,9.25,8.0,8.0,8.0,133116
2022-06-17,10.0,10.5,7.0,7.0,7.0,1620592
2022-06-21,7.5,7.5,6.5,6.5,6.5,499468
2022-06-22,6.25,6.75,5.75,6.5,6.5,333656
2022-06-23,6.25,7.0,6.25,7.0,7.0,277776
2022-06-24,6.75,6.75,6.25,6.25,6.25,1053972
2022-06-27,6.25,6.75,6.0,6.75,6.75,162428
2022-06-28,6.5,7.0,6.5,6.5,6.5,179044
2022-06-29,6.5,8.25,6.5,7.25,7.25,391400
2022-06-30,7.0,7.0,6.25,6.5,6.5,135940
2022-07-01,6.5,6.75,6.0,6.25,6.25,94392
2022-07-05,6.25,6.25,5.75,6.0,6.0,265196
2022-07-06,6.0,6.25,6.0,6.25,6.25,98200
2022-07-07,6.0,6.5,6.0,6.5,6.5,76848
2022-07-08,6.25,6.75,6.25,6.5,6.5,276012
2022-07-11,6.25,6.5,5.75,5.75,5.75,139172
2022-07-12,6.0,6.0,5.75,6.0,6.0,56968
2022-07-13,5.75,5.75,5.5,5.5,5.5,78932
2022-07-14,5.5,5.75,5.0,5.0,5.0,112712
2022-07-15,5.0,5.25,5.0,5.0,5.0,82932
2022-07-18,5.25,5.5,5.0,5.0,5.0,100768
2022-07-19,5.0,5.25,5.0,5.0,5.0,91396
2022-07-20,5.25,5.25,5.0,5.25,5.25,59304
2022-07-21,5.25,5.5,5.0,5.5,5.5,61516
2022-07-22,5.25,5.25,4.75,5.0,5.0,106680
2022-07-25,5.0,5.0,4.75,4.75,4.75,121684
2022-07-26,5.0,5.0,4.25,4.25,4.25,193156
2022-07-27,4.5,4.75,4.25,4.75,4.75,167384
2022-07-28,6.0,9.75,5.5,8.25,8.25,10716292
2022-07-29,8.75,9.25,6.0,6.25,6.25,2819848
2022-08-01,7.25,7.25,6.25,6.75,6.75,1054388
2022-08-02,6.5,6.5,6.0,6.5,6.5,552272
2022-08-03,6.25,6.5,6.0,6.25,6.25,383972
2022-08-04,6.25,6.5,6.25,6.5,6.5,320972
2022-08-05,6.5,6.75,6.5,6.75,6.75,308952
2022-08-08,7.0,7.75,7.0,7.5,7.5,618480
2022-08-09,7.25,7.25,6.75,7.0,7.0,242516
2022-08-10,7.0,7.25,7.0,7.0,7.0,188572
2022-08-11,7.0,7.5,7.0,7.0,7.0,218292
2022-08-12,6.5,6.75,6.0,6.5,6.5,287144
2022-08-15,6.25,6.5,6.0,6.25,6.25,295240
2022-08-16,6.25,6.25,5.75,6.0,6.0,244548
2022-08-17,6.0,6.0,5.25,5.5,5.5,276132
2022-08-18,5.25,5.5,5.0,5.25,5.25,204868
2022-08-19,5.0,5.0,4.75,5.0,5.0,253440
2022-08-22,4.75,5.0,4.5,4.5,4.5,251864
2022-08-23,4.5,4.75,4.25,4.5,4.5,191840
2022-08-24,4.25,4.5,4.25,4.5,4.5,202404
2022-08-25,4.75,4.75,4.25,4.25,4.25,1036656
2022-08-26,3.5,3.75,3.25,3.25,3.25,1275848
2022-08-29,3.2300000190734863,3.390000104904175,2.950000047683716,3.0999999046325684,3.0999999046325684,1071000
2022-08-30,3.119999885559082,3.119999885559082,2.700000047683716,2.7799999713897705,2.7799999713897705,650200
2022-08-31,2.6700000762939453,2.7799999713897705,2.5299999713897705,2.75,2.75,365300
2022-09-01,2.6500000953674316,2.7100000381469727,2.450000047683716,2.4800000190734863,2.4800000190734863,469700
2022-09-02,2.490000009536743,2.6700000762939453,2.440000057220459,2.5299999713897705,2.5299999713897705,490600
2022-09-06,2.5299999713897705,2.5299999713897705,2.190000057220459,2.2300000190734863,2.2300000190734863,538800
2022-09-07,2.299999952316284,2.509999990463257,2.1500000953674316,2.1700000762939453,2.1700000762939453,1933000
2022-09-08,2.299999952316284,2.75,2.2100000381469727,2.5199999809265137,2.5199999809265137,2293300
2022-09-09,2.609999895095825,2.9200000762939453,2.4100000858306885,2.440000057220459,2.440000057220459,1893400
2022-09-12,2.450000047683716,2.8499999046325684,2.309999942779541,2.700000047683716,2.700000047683716,2724100
2022-09-13,2.509999990463257,2.75,2.4100000858306885,2.559999942779541,2.559999942779541,1863300
2022-09-14,2.559999942779541,2.559999942779541,2.299999952316284,2.299999952316284,2.299999952316284,898000
